Datum,Testen,Positieve testen,Positiviteitsratio
2020-11-01,24162,6397,26.48
2020-11-02,28928,7290,25.2
2020-11-03,54876,14897,27.15
2020-11-04,44998,11468,25.49
2020-11-05,45721,10148,22.2
2020-11-06,39364,7766,19.73
2020-11-07,32360,7014,21.67
2020-11-08,13302,2790,20.97
2020-11-09,22365,4553,20.36
2020-11-10,39203,8340,21.27
2020-11-11,31789,6197,19.49
2020-11-12,28050,5146,18.35
2020-11-13,37804,7023,18.58
2020-11-14,26469,5076,19.18
2020-11-15,13824,2579,18.66
2020-11-16,21451,3135,14.61
2020-11-17,40333,6134,15.21
2020-11-18,36628,4795,13.09
2020-11-19,35245,4369,12.4
2020-11-20,34399,3884,11.29
2020-11-21,21511,2562,11.91
2020-11-22,10728,1324,12.34
2020-11-23,22544,2381,10.56
2020-11-24,42288,4363,10.32
2020-11-25,37199,3347,9.0
2020-11-26,34180,3220,9.42
2020-11-27,33696,2840,8.43
2020-11-28,25778,2582,10.02
2020-11-29,9628,884,9.18
2020-11-30,23532,2076,8.82
2020-12-01,44351,3723,8.39
2020-12-02,36654,3168,8.64
2020-12-03,34155,3021,8.84
2020-12-04,36225,3053,8.43
2020-12-05,24748,2166,8.75
2020-12-06,10538,988,9.38
2020-12-07,26604,2122,7.98
2020-12-08,45894,3586,7.81
2020-12-09,41509,3284,7.91
2020-12-10,38198,3134,8.2
2020-12-11,38586,3060,7.93
2020-12-12,29983,2762,9.21
2020-12-13,13636,1223,8.97
2020-12-14,31457,2469,7.85
2020-12-15,52971,4248,8.02
2020-12-16,50567,3625,7.17
2020-12-17,46288,3358,7.25
2020-12-18,42279,3136,7.42
2020-12-19,32933,2579,7.83
2020-12-20,14444,1126,7.8
2020-12-21,32482,2372,7.3
2020-12-22,51829,3740,7.22
2020-12-23,41202,2945,7.15
2020-12-24,36891,2697,7.31
2020-12-25,13058,1036,7.93
2020-12-26,17856,1005,5.63
2020-12-27,13429,980,7.3
2020-12-28,29048,1898,6.53
2020-12-29,41408,3236,7.81
2020-12-30,32677,2578,7.89
2020-12-31,30509,2169,7.11
2021-01-01,11933,976,8.18
2021-01-02,18577,975,5.25
2021-01-03,17637,1012,5.74
2021-01-04,40229,2034,5.06
2021-01-05,60064,3445,5.74
2021-01-06,55217,3303,5.98
2021-01-07,44355,2472,5.57
2021-01-08,46443,2264,4.87
2021-01-09,38227,1862,4.87
2021-01-10,22918,1109,4.84
2021-01-11,44039,2094,4.75
2021-01-12,67138,3345,4.98
2021-01-13,56969,3006,5.28
2021-01-14,43318,2404,5.55
2021-01-15,43992,2461,5.59
2021-01-16,33946,1986,5.85
2021-01-17,16770,1070,6.38
2021-01-18,37525,1805,4.81
2021-01-19,63473,3530,5.56
2021-01-20,53464,2875,5.38
2021-01-21,45566,2708,5.94
2021-01-22,50760,3029,5.97
2021-01-23,38442,2060,5.36
2021-01-24,21688,1299,5.99
2021-01-25,44276,2223,5.02
2021-01-26,65077,3611,5.55
2021-01-27,62221,3212,5.16
2021-01-28,55854,3154,5.65
2021-01-29,56282,3326,5.91
2021-01-30,47102,2714,5.76
2021-01-31,22130,1341,6.06
2021-02-01,45820,2250,4.91
2021-02-02,68279,3589,5.26
2021-02-03,60705,2971,4.89
2021-02-04,54090,2943,5.44
2021-02-05,57084,2937,5.15
2021-02-06,42019,2206,5.25
2021-02-07,19066,1026,5.38
2021-02-08,44898,1846,4.11
2021-02-09,60755,3094,5.09
2021-02-10,49926,2482,4.97
2021-02-11,46288,2486,5.37
2021-02-12,46458,2381,5.13
2021-02-13,34158,1949,5.71
2021-02-14,15970,949,5.94
2021-02-15,38662,2004,5.18
2021-02-16,49438,3099,6.27
2021-02-17,43174,2766,6.41
2021-02-18,40482,2918,7.21
2021-02-19,42001,2948,7.02
2021-02-20,33879,2417,7.13
2021-02-21,17000,1243,7.31
2021-02-22,40378,2333,5.78
2021-02-23,54890,3673,6.69
2021-02-24,49021,3298,6.73
2021-02-25,41521,3006,7.24
2021-02-26,47305,3169,6.7
2021-02-27,37694,2454,6.51
2021-02-28,16155,962,5.95
2021-03-01,43321,2200,5.08
2021-03-02,57770,3704,6.41
2021-03-03,51258,3132,6.11
2021-03-04,46955,3178,6.77
2021-03-05,52562,3098,5.89
2021-03-06,39145,2452,6.26
2021-03-07,17059,1122,6.58
2021-03-08,43952,2514,5.72
2021-03-09,62018,4059,6.54
2021-03-10,55931,3732,6.67
2021-03-11,51407,3885,7.56
2021-03-12,58167,3974,6.83
2021-03-13,45677,3286,7.19
2021-03-14,21529,1686,7.83
2021-03-15,48927,3364,6.88
2021-03-16,74213,5528,7.45
2021-03-17,67121,5121,7.63
2021-03-18,66499,5612,8.44
2021-03-19,73252,5378,7.34
2021-03-20,56234,4317,7.68
2021-03-21,27380,2368,8.65
2021-03-22,918,67,7.3
